"Subs can do quotes now" - Curtis [Persona 5, 05/29/2018]
"I think my nuts will increase if I study here!" - Curtis [Persona 5, 05/31/18]
"His ball's covered in puke after that" - Curtis [Super Monkey Ball 2, 06/02/2018]
"80 dollars for 2 day shipping. Why didn't you do that? What're you, dumb?" - Curtis [Persona 5, 06/03/2018]
"Acceptable grammar is unacceptable here" - Curtis [Persona 5, 06/03/2018]
"Mom, Dad, I'm dropping out of college. I decided to become a SPEEDRUNNER" - Curtis [Kirby 64: The Crystal Shards, 06/03/2018]
"you should play curbie nightmare in dreamland" - lakiduca [Kirby 64: The Crystal Shards, 06/05/2018]
"This is going horribly without the thing in my mouth" - Curtis [Kirby 64: The Crystal Shards, 06/24/2018]
"This is the level where butter is made" - Curtis [Kirby 64: The Crystal Shards, 06/30/2018]
"Akechi doesn't have a bathing suit. That's a really big downside" - Curtis [Persona 5, 07/15/2018]
"Oh dude! Sweet! Gambling!" - Croco [Mario Party 5, 07/16/2018]
"steins gate is a harvest moon ripoff btw..." - v4r0123 [Kirby 64: The Crystal Shards, 07/19/2018]
"Alright Captian, keep your 🍆 in your pants" - Curtis [Persona 5, 07/23/2018]
"I ditched my real life girlfriend for Ann and Makoto from Persona 5" - Curtis [Kirby 64: The Crystal Shards, 07/24/2018]
"Whatever you do don't get the kid to level 9 that's illegal" - dreadpirateht [Persona 5, 07/25/2018]
"I'm abusing your insecure quote-adding system" - Muttolomule [Kirby 64: The Crystal Shards, 07/28/2018]
"dont kill yourself in the process of living life" - WhoDis__ [Kirby 64: The Crystal Shards, 07/28/2018]
"Imagine spreading rubber cement on a piece of toast, and eating it. That's what that level was." - Curtis [Kirby 64: The Crystal Shards, 08/03/2018]
"I heard v6 is actually a 1991 Dodge Stealth R/T" - WhoDis__ [Kirby 64: The Crystal Shards, 08/04/2018]
"trueLove is my favorite emo girl" - Curtis [Kirby 64: The Crystal Shards, 08/07/2018]
"Give me that thicc peeb!" - Curtis [Kirby 64: The Crystal Shards, 08/07/2018]
"ME ☝️ 😤 and ➕ ann 🐈 🐞 have spent ⌚⏳ COUNTLESS 🔢 days 📅📅 BONDING 😩😩🍆 so 🤔 don't 🙅‍♀️ you 👉 dare 😤😤 compare 🤹‍♀️ my 🤗 GIRL 🚺 to that... 😡😡 bobblehead 🤕🤕 CAT!!!! 🐈🐈 that is ☝️ also 🤔 a bus 🚌🚌" - Croco [Persona 5, 08/09/2018]
"Holy crap. That was a thicc swallow" - Curtis [Persona 5, 08/09/2018]
"crows are black 👎 crows are african american 👍" - Croco [Persona 5, 08/09/2018]
"mean are just not very interested in those things they would wear a sack of potatoes and go to church" - v4r0123 [Kirby 64: The Crystal Shards, 08/11/2018]
"*slaps bladder* this baby can hold so much pee in it" - WhoDis_ [Kirby 64: The Crystal Shards, 08/12/2018]
"Unfortunately, I do have legs" - Curtis [Kirby 64: The Crystal Shards, 08/13/2018]
"i bet curtis has a folder on his computer called 'sloppy frogs'" - Croco [IRL, 08/16/2018]
"One day cointissimos will mean something. I promise" - Curtis [Kirby 64: The Crystal Shards, 09/16/2018]
"Rest in Rolaids, never forgolaids" - Curtis [Kirby 64: The Crystal Shards, 09/29/2018]
"keep fingering the button dunce" - v4r0123 [Kirby 64: The Crystal Shards, 09/29/2018]
"An ACTUAL SERIOUS SPORTS ANIME" - Kitsu Legend [Just Chatting, 10/27/2018]
"8 hour crockpot marathon after graduation" - Curtis [Food & Drink, 10/29/2018]
"You fool this isn't even my final fork" - chaosakazero [Kirby 64: The Crystal Shards, 11/03/2018]
"Nah English got me fucked up" - Country_Ball [Just Chatting, 11/03/2018]
"My friends and I have been spoonerizing since we were in grade school" - Curtis [Kirby 64: The Crystal Shards, 11/10/2018]
"You know what's a great channel? The English Channel. Very watery." - Muttolomule [Kirby 64: The Crystal Shards, 11/24/2018]
"Strangely now I want Pie and erotica simultaneously" - dreadpirateht [Kirby 64: The Crystal Shards, 11/25/2018]
"Taylor no baka!!!" - StrongCrocodile [Kirby 64: The Crystal Shards, 11/25/2018]
"curtis i just got a cute lipstick that would looks fantastic on you" - v4r0123 [Kirby 64: The Crystal Shards, 12/01/2018]
"speedy speed boy was my uncle, can confirm that is close to his speed" - Mittened [Kirby 64: The Crystal Shards, 12/01/2018]
"for the love of ruka best girl" - v4r0123 [Kirby 64: The Crystal Shards, 12/08/2018]
"i went to this anime runescape chat to get anime recommended to me and this kid said cory in the house and we both got banned" - lakiduca [Kirby 64: The Crystal Shards, 12/20/2018]
"Yeah, I just sang Brittney Spears...my bad" - Curtis [Kirby 64: The Crystal Shards, 01/15/2019]
"And on the eighth day, God said, 'Let there be Birby'" - Curtis [Kirby 64: The Crystal Shards, 01/17/2019]
"Berfy Seventy 2: The Crystal Borpus" - LeadMoron [Kirby 64: The Crystal Shards, 1/20/2019]
"i. love. kribby" - CosmicHeart [Kirby 64: The Crystal Shards, 02/19/2019]
"'thats racist' - v4 probably" - Curtis [Kirby 64: The Crystal Shards, 02/22/2019]
"The best part of shaving your ass is not being able to mute the farts." - Oddzoid [Final Fantasy IX, 03/06/2019]
"Mother was I adopted cause your blue and 700 pounds?" - dreadpirateht [Final Fantasy IX, 03/07/2019]
"23 years old and still haven't seen Aaron Carter live. My life sucks." - Curtis [Kirby 64: The Crystal Shards, 03/08/2019]
"I love just slamming the big one down. It's such a good feeling." - Curtis [Tetris 99, 03/12/2019]
"the card that has the numbers on the front and back that help ninja out" - Shremp [Kirby 64: The Crystal Shards, 03/17/2019]
"i'd drink ur nippl juice curts" - v4r0123 [Kirby 64: The Crystal Shards, 03/31/2019]
"Show neck? I...already am?" - Curtis [03/31/2019]
"Just looking at Major Mellow makes me sick" - The Game [Rollercoaster Tycoon 2, 03/31/2019]
"i swear u were succ when I met u lol" - LeongPQ [Rollercoaster Tycoon, 03/31/2019]
"Do you know how many kids allegedly had sex with my mom? All of them" - Curtis [Kirby 64: The Crystal Shards, 04/07/2019]
"What kind of Yoshi's epic yarn shit is this!?" - Oddzoid [Kirby 64: The Crystal Shards, 04/07/2019]
"I don't have anything to cure sadness. Well ain't that a bitch" - Curtis [Final Fantasy IX, 04/08/2019]
"Can you just smoke 200 cartons of cigs to glitch out of bounds to the 'heaven' map?" - Oddzoid [Kirby 64: The Crystal Shards, 04/12/2019]
"i wanted to MACK the SHIT OUT OF TINKY WINKY" - major_mellow [Kirby 64: The Crystal Shards, 04/13/2019]
"congratulations ou have been selected for a mountainDew enema" - v4r0123 [Kirby 64: The Crystal Shards, 04/14/2019]
"wipe ur butt v4 i can smell the week old pierogies NiceMoves " - major_mellow [Kirby 64: The Crystal Shards, 04/14/2019]
"whats the bad ending for this game; does kirby evade his taxes" - major_mellow [Kirby 64: The Crystal Shards, 04/18/2019]
"you fucking thought, kid" - Curtis's Wii [Kirby 64: The Crystal Shards, 04/18/2019]
"s(he's) a (poopyhead)" - major_mellow [Kirby 64: The Crystal Shards, 04/25/2019]
"tfw u smell something in the air and realize its on ur hands and it's onions from earlier feelsBruh monakHmm PeepHand " - LeadMoron [Kirby 64: The Crystal Shards, 04/25/2019]
"quote 69 better be good" - LeadMoron [Kirby 64: The Crystal Shards, 04/20/2019]
"*smells curtis*" - graample [Kirby 64: The Crystal Shards, 04/30/2019]
"Lofi Hiphop Beats to Game/Study/Plug Holes to" - LeadMoron [Tetris 99, 05/05/2019]
"have you ever felt a pregnant belly HamsterRick or NiceMoves " - LeadMoron [Kirby 64: The Crystal Shards, 05/07/2019]
"is manga a female mango then??" - major_mellow [Kirby 64: The Crystal Shards, 05/19/2019]
"owo hewwo. i regret typing that" - joko450 [Kirby 64: The Crystal Shards, 05/19/2019]
"You should hear the noise he makes when playing Bayblades in the shower" - Oddzoid [Kirby 64: The Crystal Shards, 05/25/2019]
"I did just shower, so stream should smell good." - Curtis [Tetris 99, 06/15/2019]
"When's crack pipe stream?" - Oddzoid [Kirby 64: The Crystal Shards, 06/17/2019]
"rent? that game sucks" - LeadMoron [Kirby 64: The Crystal Shards, 07/05/2019]
"The fire trucks are coming to put out this run" - Curtis [Kirby 64: The Crystal Shards, 07/10/2019]
"AH SEEM I AHVE SHORtED out ~my keyboard||" - Shremp [Kirby 64: The Crystal Shards, 07/14/2019]
"numlock off numskull on" - LeadMoron [Kirby 64: The Crystal Shards, 07/18/2019]
